No,System,Date introduced,Sci ops/sec,Sci sec/dol,Com ops/sec,Com sec/dol
39,Oracle,Sep 1953,1002.,31.81,563.4,31.81
40,Univac 1103,Sep 1953,749.0,28.34,666.2,28.34
41,Univac 1102,Dec 1953,460.3,50.94,240.0,50.94
42,Udec I,Dec 1953,16.38,72.67,21.93,72.67
43,NCR 107,1953,16.99,254.5,34.44,254.5,
44,Miniac,Dec 1953,10.91,267.6,9.545,267.6
45,IBM 701,1953,992.7,18.34,615.7,18.34
46,IBM 604,1953,2.766,974.2,20.19,974.3
47,AN/UJQ-2(YA-1),1953,21.48,84.83,56.16,84.83
1,Harvard Mark I,1944,.0379,50.94,0.406,50.94
48,Johnniac,Mar 1954,319.2,84.83,284.9,84.83
2,Bell Computer Model IV,Mar 1945,.0068,509.4,0.035,509.4
49,Dyseac,Apr 1954,72.18,50.90,172.4,50.90
3,Eniac,1946,7.448,31.81,44.65,31.81,
50,Elcom 120,May 1954,5.471,261.9,6.456,262.0
51,Circle,Jun 1954,14.04,318.1,10.59,318.1
4,Bell Computer Model V,Late 1947,.0674,84.83,0.296,84.83
5,Harvard Mark II,Sep 1948,.1712,50.94,0.774,50.94
52,Burroughs 204 & 205,Jul 1954,80.84,77.94,187.3,77.94
6,Binac,Aug 1949,21.75,127.2,11.70,127.2
53,Modac 5014,Jul 1954,6.238,299.8,10.09,299.8
7,IBM CPC,1949,2.126,207.8,14.37,207.8
54,Ordfiac,Jul 1954,2.607,92.51,6.011,92.51
55,Datatron,Aug 1954,113.7,113.2,243.1,113.2
8,Bell Computer Model III,1949,.0674,102.2,0.296,102.2
56,Modac 404,Sep 1954,7.116,254.5,15.29,254.5
9,SEAC,May 1950,102.8,50.94,253.8,50.94
10,Whirlwind I,Dec 1950,110.7,31.81,45.57,31.18
57,Lincoln Memory Test,Dec 1954,1925.,9.285,768.7,9.285
58,TIM II,Dec 1954,7.414,848.3,7.439,848.3
11,Univac 1101 Era 1101,Dec 1950,682.5,50.94,301.8,50.94
59,Caldic,1954,23.99,203.8,41.34,203.8
12,IBM 607,1950,5.666,479.6,34.06,479.6
60,Univac 60 & 120,Nov 1954,.0924,356.3,1.473,356.3
13,Avdiac,1950,108.5,84.83,51.20,84.83
61,IBM 650,Nov 1954,110.8,155.9,291.1,155.9
14,Adec,Jan 1951,54.26,42.42,57.16,42.42
62,Wise,1954,7.736,145.7,6.413,145.7
63,NCR 303,1954,3.491,117.6,8.281,117.6
15,Burroughs Lab Calculator,Jan 1951,5.605,254.5,7.718,254.5
16,SWAC,Mar 1951,632.2,50.94,324.7,50.94
64,Mellon Inst Digital Computer,1954,14.23,169.9,10.55,169.9
17,Univac I,Mar 1951,140.1,24.94,271.4,24.94
65,IBM 610,1954,.1408,519.6,0.437,519.6
66,Alwac III,1954,44.80,302.7,91.42,302.7
18,ONR Relay Computer,May 1951,.2937,127.2,1.050,127.2
67,IBM 702,Feb 1955,394.4,20.78,1063.,20.78
19,Fairchild Computer,Jun 1951,2.000,127.2,4.539,127.2
68,Monrobot III,Feb 1955,.3743,299.8,1.188,299.8
20,National 102,Jan 1952,1.260,848.3,2.998,848.3
69,Norc,Feb 1955,545.8,10.17,268.2,10.17
21,IAS,Mar 1952,467.0,84.83,305.0,84.83
70,Miniac II,Mar 1955,11.76,267.6,17.44,267.6
22,Maniac I,Mar 1952,302.7,101.9,163.4,101.9
71,Monrobot V,Mar 1955,.4678,295.5,1.607,295.5
23,Ordvac,Mar 1952,268.8,72.76,127.8,72.76
72,Udec II,Oct 1955,7.244,84.83,10.65,84.83
24,Edvac,Apr 1952,31.56,54.22,14.86,54.22
73,RCA BIZMAC 1 & II,Nov 1955,285.6,5.668,967.9,5.668
74,Pennstac,Nov 1955,26.75,212.1,22.98,212.1
75,Technitral 180,1955,110.0,46.19,190.1,46.19
76,National 102D,1955,7.317,112.3,14.20,112.3
25,Teleregister Special Purpose Digital Data Handling,Jun 1952,12.16,78.93,26.43,78.93
77,Monrobot VI,1955,.3293,222.7,0.966,222.7
26,Illiac,Sep 1952,123.1,72.76,50.43,72.76
78,Modac 410,1955,24.18,203.8,51.84,169.9
27,Elcom 100,Dec 1952,1.278,424.2,3.241,424.2
79,Midac,1955,101.6,169.9,29.00,169.9
28,Harvard Mark IV,1952,63.99,42.42,64.95,42.42
80,Elcom 125,1955,31.24,164.1,29.01,164.1
29,Alwac II,Feb 1953,10.17,509.4,12.08,509.4
81,Burroughs E 101,1955,.6898,580.0,2.319,580.0
30,Logistics Era,Mar 1953,52.85,72.00,39.01,72.0
82,Bendix G15,Aug 1955,57.34,419.9,30.25,419.9
31,Oarac,Apr 1953,24.38,141.4,35.71,141.4
83,Alwac III E,Nov 1955,41.50,249.4,90.15,249.4
32,ABC,May 1953,29.88,212.1,11.66,212.1
84,Readix,Feb 1956,80.63,194.9,87.99,194.9
33,Roydac,Jul 1953,171.3,8.483,244.6,8.483
85,IBM 705 I-II,Mar 1956,734.0,13.27,2087.,13.27
34,Whirlwind II,Jul 1953,233.4,21.21,95.96,21.21
86,Univac 1103 A,Mar 1956,2295.,19.49,1460.,19.49
35,National 102A,Summer 1953,4.089,116.5,8.400,116.5
87,AF CRC,Apr 1956,81.66,31.81,28.97,31.81
88,Guidance Function,Apr 1956,5.246,461.9,7.744,461.9
89,IBM 704,Apr 1956,10670.,13.18,3785.,13.18
36,Consolidated Eng Corp Model 36-101,Summer 1953,38.31,181.8,21.07,181.8
90,IBM 701 (CORE),1956,2378.,17.81,1807.,17.81
37,Jaincomp C,Aug 1953,4.745,103.9,3.375,103.9
91,Narec,Jul 1956,444.8,25.45,190.6,25.45
38,Flac,Sep 1953,61.55,50.94,107.9,50.94
157,General Mills AD/ECW-57,Dec 1960,143.9,141.7,44.03,141.7
158,Philco 3000,Late 1960,102.2,155.9,66.13,155.8
159,Maniac III,Late 1960,11140.,25.45,4723.,25.45
160,Sylvania S9400,Late 1960,62510.,9.306,49.550,9.306
161,Target Intercept,Late 1960,16800.,33.89,16070.,33.89
162,Westinghouse Airbourne,1960,10950.,12.47,4806.,12.47
163,RCA 300,1960,1466.,25.98,687.7,25.98
92,LGP 30,Sep 1956,41.94,479.6,32.75,479.6
93,Modac 414,Oct 1956,28.26,169.9,42.94,169.9
164,Mobidic CD & 7A AN/MYK,1960,12410.,10.39,15430.,10.39
94,Elecom 50,1956,.5990,139.2,1.776,1039.
165,Litton C7000,1960,18200.,11.34,5323.,11.34
95,Udec III,Mar 1957,25.11,72.76,20.85,72.76
166,Libratrol 1000,1960,84.16,254.5,50.85,254.5
96,George I,Sep 1957,1538.,50.94,571.9,50.94
167,General Electric 312,1960,122.0,299.8,47.12,299.8
97,Univac File O,Sep 1957,35.20,41.02,73.17,41.02
168,Diana,1960,102.1,127.2,48.85,127.2
98,Lincoln TXO,Fall 1957,1471.,10.19,359.6,10.19
169,DE 60,Feb 1960,.6384,1155.,1.855,1155.
99,Univac II,Nov 1957,1155.,22.27,2363.,22.27
170,Burroughs D 107,1960,311.8,63.62,73.95,63.62
100,IBM 705 III,Late 1957,2379.,13.27,7473.,13.27
171,AN/USQ 20,1960,22390.,20.78,23670.,20.78
172,AN/TYK 4V Compac,1960,1610.,41.57,616.1,41.57
101,Teleregister Telefile,Late 1957,286.0,65.98,935.9,65.98
173,General Mills Apsoc,Jan 1961,16.22,424.2,7.084,424.2
102,Recomp I,Late 1957,25.76,363.8,16.14,363.8
103,IBM 608,1957,15.21,389.7,60.69,389.7
174,Univac Solid State 80/90 II,Jan 1961,3199.,69.28,3044.,69.28
104,Mistic,1957,64.28,101.9,24.50,101.9
175,Bendix G20 & 21,Feb 1961,37260.,33.17,17060.,33.17
